image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9781408708989,Art-Photography,dataset/Art-Photography/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4,6.8,$,10.5,9780752265629,Art-Photography,dataset/Art-Photography/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4,15.14,$,18,9781408711705,Art-Photography,dataset/Art-Photography/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705625.jpg,Moleskine Large Watercolour Album And Notebook,Moleskine,Notebook / blank book,0,11.86,$,19.9,9788883705625,Art-Photography,dataset/Art-Photography/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9780141014081,Art-Photography,dataset/Art-Photography/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250038821.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,21.46,$,30.4,9781250038821,Art-Photography,dataset/Art-Photography/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035796.jpg,Ways of Seeing,John Berger,Paperback,4,8.36,$,10.3,9780141035796,Art-Photography,dataset/Art-Photography/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.6,$,12.9,9781849941679,Art-Photography,dataset/Art-Photography/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099539551.jpg,The Hare with Amber Eyes,Edmund de Waal,Paperback,4,12.75,$,13.9,9780099539551,Art-Photography,dataset/Art-Photography/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701153.jpg,Moleskine Large Sketchbook Black,,Notebook / blank book,4.5,12.18,$,19.9,9788883701153,Art-Photography,dataset/Art-Photography/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4,9.43,$,12.4,9780747568766,Art-Photography,dataset/Art-Photography/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4,27.12,$,,9781471157790,Art-Photography,dataset/Art-Photography/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4,7.26,$,,9781860969423,Art-Photography,dataset/Art-Photography/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408890769.jpg,Harry Potter - A History of Magic,British Library,Hardback,4,30.92,$,37.6,9781408890769,Art-Photography,dataset/Art-Photography/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4,10.66,$,13.9,9780751535662,Art-Photography,dataset/Art-Photography/0000015.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7160/9780716022237.jpg,How to Draw Anything,Mark Linley,Paperback,3.5,5.26,$,10.3,9780716022237,Art-Photography,dataset/Art-Photography/0000016.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4,12.61,$,21.1,9781509829477,Art-Photography,dataset/Art-Photography/0000017.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5005/9780500513606.jpg,Chanel,Daniele Bott,Hardback,4,31.18,$,37.1,9780500513606,Art-Photography,dataset/Art-Photography/0000018.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8478/9781847807717.jpg,Coco Chanel,Isabel Sanchez Vegara,Hardback,4,10.01,$,12.9,9781847807717,Art-Photography,dataset/Art-Photography/0000019.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4,6.71,$,8,9780877180128,Art-Photography,dataset/Art-Photography/0000020.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.1,$,10.5,9780751574951,Art-Photography,dataset/Art-Photography/0000021.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340936177.jpg,My Booky Wook,Russell Brand,Paperback,3.5,9.34,$,13.9,9780340936177,Art-Photography,dataset/Art-Photography/0000022.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4,5.99,$,12.9,9780099457046,Art-Photography,dataset/Art-Photography/0000023.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705601.jpg,Moleskine Pocket Watercolour Notebook,Moleskine,Notebook / blank book,5,9.7,$,15.9,9788883705601,Art-Photography,dataset/Art-Photography/0000024.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452106557.jpg,Darth Vader and Son,Jeffrey Brown,Hardback,4,9.61,$,12.9,9781452106557,Art-Photography,dataset/Art-Photography/0000025.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969430.jpg,"Music Theory in Practice, Grade 2",Eric Taylor,Sheet music,4.5,6.99,$,7,9781860969430,Art-Photography,dataset/Art-Photography/0000026.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5,18.32,$,22.99,9780762459452,Art-Photography,dataset/Art-Photography/0000027.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849942850.jpg,Millie Marotta's Tropical Wonderland,Millie Marotta,Paperback,4.5,11.6,$,12.9,9781849942850,Art-Photography,dataset/Art-Photography/0000028.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486254500.jpg,Fun with Dinosaur Stencils,Albert G. Smith,Paperback,4.5,2.81,$,,9780486254500,Art-Photography,dataset/Art-Photography/0000029.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2411/9780241184837.jpg,Hooked,Nir Eyal,Hardback,4,13.76,$,16,9780241184837,Art-Photography,dataset/Art-Photography/0000030.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616550417.jpg,The Legend of Zelda,Shigeru Miyamoto,Hardback,4.5,27.56,$,40,9781616550417,Art-Photography,dataset/Art-Photography/0000031.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472200341.jpg,The Ocean at the End of the Lane,Neil Gaiman,Paperback,4,7.7,$,11.4,9781472200341,Art-Photography,dataset/Art-Photography/0000032.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969447.jpg,"Music Theory in Practice, Grade 3",Eric Taylor,Sheet music,4,7.57,$,7.8,9781860969447,Art-Photography,dataset/Art-Photography/0000033.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969461.jpg,"Music Theory in Practice, Grade 5",Eric Taylor,Sheet music,4.5,8.8,$,,9781860969461,Art-Photography,dataset/Art-Photography/0000034.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770785.jpg,Piano Adventures,Nancy Faber,Paperback,4,7.43,$,9,9781616770785,Art-Photography,dataset/Art-Photography/0000035.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753557150.jpg,Lost Ocean,Johanna Basford,Paperback,4.5,12.39,$,,9780753557150,Art-Photography,dataset/Art-Photography/0000036.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7423/9781742372389.jpg,The Happiest Refugee,Anh Do,Paperback,4,20.87,$,,9781742372389,Art-Photography,dataset/Art-Photography/0000037.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761178972.jpg,Show Your Work!,Austin Kleon,Paperback,4,8.94,$,11.95,9780761178972,Art-Photography,dataset/Art-Photography/0000038.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753826614.jpg,Life,Keith Richards,Paperback,4,11.18,$,13.9,9780753826614,Art-Photography,dataset/Art-Photography/0000039.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331502.jpg,Daisy Jones and The Six,TAYLOR JENKINS REID,Hardback,4,14.67,$,16,9781786331502,Art-Photography,dataset/Art-Photography/0000040.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465050659.jpg,The Design of Everyday Things,Donald A. Norman,Paperback,4,14.22,$,,9780465050659,Art-Photography,dataset/Art-Photography/0000041.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7716/9781771642484.jpg,The Hidden Life of Trees,Peter Wohlleben,Hardback,4,16.53,$,18.99,9781771642484,Art-Photography,dataset/Art-Photography/0000042.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349113913.jpg,Me Talk Pretty One Day,David Sedaris,Paperback,4,7.38,$,11.4,9780349113913,Art-Photography,dataset/Art-Photography/0000043.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0628/9780062801975.jpg,Homebody,Joanna Gaines,Hardback,4,26.47,$,40.1,9780062801975,Art-Photography,dataset/Art-Photography/0000044.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753545669.jpg,Release Your Anger: Midnight Edition: An Adult Coloring Book with 40 Swear Words to Color and Relax,James Alexander,Paperback,4.5,9.45,$,11.4,9780753545669,Art-Photography,dataset/Art-Photography/0000045.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5796/9781579656652.jpg,The Kinfolk Home,Nathan Williams,Hardback,3.5,27.84,$,30.95,9781579656652,Art-Photography,dataset/Art-Photography/0000046.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444734164.jpg,Is it Just Me?,Miranda Hart,Paperback,4,8.35,$,12.9,9781444734164,Art-Photography,dataset/Art-Photography/0000047.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4867/9780486789644.jpg,Creative Haven Creative Cats Coloring Book,Marjorie Sarnat,Paperback,4.5,5.22,$,,9780486789644,Art-Photography,dataset/Art-Photography/0000048.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847679277.jpg,An Idiot Abroad,Karl Pilkington,Paperback,4,8.47,$,12.4,9781847679277,Art-Photography,dataset/Art-Photography/0000049.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969454.jpg,"Music Theory in Practice, Grade 4",Eric Taylor,Sheet music,4,8.23,$,8.3,9781860969454,Art-Photography,dataset/Art-Photography/0000050.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7407/9780740797712.jpg,Colour and Light,James Gurney,Paperback,4,17.69,$,21.1,9780740797712,Art-Photography,dataset/Art-Photography/0000051.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9329/9781932907001.jpg,Save the Cat!,Blake Snyder,Paperback,4,12.65,$,17,9781932907001,Art-Photography,dataset/Art-Photography/0000052.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8461/9781846147548.jpg,It,Alexa Chung,Hardback,3.5,19.72,$,25.2,9781846147548,Art-Photography,dataset/Art-Photography/0000053.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250058904.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,23.45,$,30.4,9781250058904,Art-Photography,dataset/Art-Photography/0000054.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331519.jpg,Daisy Jones and The Six,TAYLOR JENKINS REID,Paperback,4,14.54,$,16,9781786331519,Art-Photography,dataset/Art-Photography/0000055.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035789.jpg,On Photography,Susan Sontag,Paperback,4,9.32,$,12.4,9780141035789,Art-Photography,dataset/Art-Photography/0000056.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6315/9781631591402.jpg,How to Draw Almost Everything,Chika Miyata,Paperback,4,11.91,$,16,9781631591402,Art-Photography,dataset/Art-Photography/0000057.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472260086.jpg,Art Matters,Neil Gaiman,Hardback,4,8.32,$,12.4,9781472260086,Art-Photography,dataset/Art-Photography/0000058.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3001/9780300179354.jpg,Interaction of Color,Josef Albers,Paperback,4,15.18,$,,9780300179354,Art-Photography,dataset/Art-Photography/0000059.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9050/9781905026357.jpg,Tricks Of The Mind,Derren Brown,Paperback,4,10.52,$,12.9,9781905026357,Art-Photography,dataset/Art-Photography/0000060.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9087/9781908707499.jpg,Really RELAXING Colouring Book 6,Elizabeth James,Paperback,4,8.28,$,,9781908707499,Art-Photography,dataset/Art-Photography/0000061.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349421001.jpg,Wabi Sabi,Beth Kempton,Hardback,4,10.08,$,16,9780349421001,Art-Photography,dataset/Art-Photography/0000062.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180135.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.5,6.8,$,9,9780877180135,Art-Photography,dataset/Art-Photography/0000063.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473630819.jpg,The Secret Lives of Colour,Kassia St. Clair,Hardback,4,17.75,$,24,9781473630819,Art-Photography,dataset/Art-Photography/0000064.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7390/9780739051641.jpg,Suzuki Piano School Volume 1 with CD,Dr. Shinichi Suzuki,Mixed media product,4.5,13.11,$,25.7,9780739051641,Art-Photography,dataset/Art-Photography/0000065.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8828/9780882848129.jpg,"Alfred's Basic Piano Library Lesson Book, Bk 2",Willard A Palmer,Paperback,0,6.9,$,8.8,9780882848129,Art-Photography,dataset/Art-Photography/0000066.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8441/9781844137879.jpg,Wall and Piece,"""Banksy""",Paperback,4,18.69,$,,9781844137879,Art-Photography,dataset/Art-Photography/0000067.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770815.jpg,Piano Adventures - Lesson Book - Level 2A,Nancy Faber,Paperback,4,7.43,$,9,9781616770815,Art-Photography,dataset/Art-Photography/0000068.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141981468.jpg,Modern Romance,Aziz Ansari,Paperback,4,9.47,$,11.4,9780141981468,Art-Photography,dataset/Art-Photography/0000069.jpg
