image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969072.jpg,"Piano Specimen Sight-Reading Tests, Grade 3",ABRSM,Sheet music,3,6.7,$,7.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7860/9781786010223.jpg,"Piano Exam Pieces 2019 & 2020, ABRSM Grade 4",,Sheet music,3,10.1,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6712/9789671250419.jpg,Music Theory for Young Children 2,Ying Ying Ng,Book,3,7.7,$,8.3,9790000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7860/9781786010841.jpg,"Music Theory Practice Papers 2017, ABRSM Grade 5",ABRSM,Sheet music,3,6.12,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/8343/9789834304829.jpg,Poco Piano 1,Ying Ying Ng,Book,3,7.85,$,8.8,9790000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8828/9780882849713.jpg,"Music for Little Mozarts Music Workbook, Bk 2",Christine H Barden,Paperback,3,7.89,$,12.4,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7390/9780739012758.jpg,"Alfred's Basic Piano Prep Course Lesson Book, Bk E",Willard A Palmer,Paperback,3,7.57,$,8.8,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/1722/9788172241643.jpg,Mein Kampf,Adolf Hitler,Paperback,3,13.49,$,,9790000000000.0,Biography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447242734.jpg,Confessions of a Sociopath,M. E. Thomas,Paperback,3,8.31,$,12.9,9780000000000.0,Biography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9845/9780984536139.jpg,Mein Kampf (Uncensored Edition),Adolf Hitler,Paperback,3,28.36,$,29.95,9780000000000.0,Biography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5290/9781529035667.jpg,Permanent Record,Edward Snowden,Paperback,3,16.53,$,18.0,9780000000000.0,Biography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3959/9780395925034.jpg,Mein Kampf,Adolf Hitler,Paperback,3,20.1,$,21.66,9780000000000.0,Biography,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730314592.jpg,The Naked CEO,Alex Malley,Paperback,3,26.18,$,,9780000000000.0,Business-Finance-Law,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5290/9781529035667.jpg,Permanent Record,Edward Snowden,Paperback,3,16.53,$,18.0,9780000000000.0,Business-Finance-Law,/Users/kamilahmedaslam/Desktop/revised dataset/3.0/0000014.jpg
